gid,funderid,fundername,awardid,value,popdate,fundagency,fundsubagency,fundoffice,psc,naics,ruei,rcage,rparuei
656,https://openalex.org/F4320337345,Office of Naval Research,N00014-24-1-2114,,,,,,,,,,
648,https://openalex.org/F4320309618,Ministry of Science and Technology,2020YFA0908604,,,,,,,,,,
635,https://openalex.org/F4320332161,National Institutes of Health,R15GM123463-02,,,,,,,,,,
632,https://openalex.org/F4320321001,National Natural Science Foundation of China,82174474,,,,,,,,,,
638,https://openalex.org/F4320306076,National Science Foundation,1831950,,,,,,,,,,
634,https://openalex.org/F4320337350,National Eye Institute,R21EY033941,,,,,,,,,,
618,https://openalex.org/F4320306080,Foundation for the National Institutes of Health,S10OD020095,,,,,,,,,,
619,https://openalex.org/F4320308035,New York State Department of Health,C34928GG,,,,,,,,,,
620,https://openalex.org/F4320332161,National Institutes of Health,R01AG049994,,,,,,,,,,
622,https://openalex.org/F4320321001,National Natural Science Foundation of China,"12175155,12371251",,,,,,,,,,
649,https://openalex.org/F4320306080,Foundation for the National Institutes of Health,R01 CA118229,,,,,,,,,,
653,https://openalex.org/F4320332161,National Institutes of Health,K08HL1549350,,,,,,,,,,
627,https://openalex.org/F4320335777,National Key Research and Development Program of China,2023YFF1204804,,,,,,,,,,
659,https://openalex.org/F4320306076,National Science Foundation,DMS-1854299,,,,,,,,,,
628,https://openalex.org/F4320321001,National Natural Science Foundation of China,21Y1254213,,,,,,,,,,
616,https://openalex.org/F4320321001,National Natural Science Foundation of China,32171607,,,,,,,,,,
630,https://openalex.org/F4320338294,Air Force Research Laboratory,FA9550-22-1-0069,,,,,,,,,,
662,https://openalex.org/F4320306076,National Science Foundation,DMS-2244988,,,,,,,,,,
624,https://openalex.org/F4320337345,Office of Naval Research,N000142112670,,,,,,,,,,
629,https://openalex.org/F4320329901,Shanghai Municipal People's Government,Shanghai Pujiang Grant 21PJC073,,,,,,,,,,
661,https://openalex.org/F4320321001,National Natural Science Foundation of China,2021-2022,,,,,,,,,,
636,https://openalex.org/F4320338281,Army Research Office,W911NF-18-1-0143,,,,,,,,,,
644,https://openalex.org/F4320306076,National Science Foundation,NSF-DMS-2111253,,,,,,,,,,
633,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH2010896,,,,,,,,,,
639,https://openalex.org/F4320306076,National Science Foundation,1700328,,,,,,,,,,
606,https://openalex.org/F4320334779,Fundação para a Ciência e a Tecnologia,PTDC/FIS‐MAC/2045/2021,,,,,,,,,,
602,https://openalex.org/F4320338298,Office of Naval Research Global,N62909‐21‐1‐2019,,,,,,,,,,
607,https://openalex.org/F4320337338,"National Heart, Lung, and Blood Institute",HL146764,,,,,,,,,,
608,https://openalex.org/F4320337338,"National Heart, Lung, and Blood Institute",HL126609,,,,,,,,,,
640,https://openalex.org/F4320323537,Hong Kong University of Science and Technology,RGC CERG HKUST16301218,,,,,,,,,,
641,https://openalex.org/F4320338281,Army Research Office,W911NF2310004,,,,,,,,,,
642,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-18-1-0257,,,,,,,,,,
637,https://openalex.org/F4320321001,National Natural Science Foundation of China,11971221,,,,,,,,,,
645,https://openalex.org/F4320306076,National Science Foundation,NSF-DMS-1818924,,,,,,,,,,
646,https://openalex.org/F4320321001,National Natural Science Foundation of China,12201052,,,,,,,,,,
647,https://openalex.org/F4320321001,National Natural Science Foundation of China,72004205,,,,,,,,,,
2816,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,N66001‐18‐2‐4015,,,,,,,,,,
650,https://openalex.org/F4320306078,U.S. Department of Defense,DAMD 17-02-1-0607,,,,,,,,,,
651,https://openalex.org/F4320337628,U.S. Naval Research Laboratory,N00014-22-1-2283,,,,,,,,,,
603,https://openalex.org/F4320321864,Generalitat Valenciana,Prometeo2021/017,,,,,,,,,,
621,https://openalex.org/F4320306078,U.S. Department of Defense,W911NF2010276,,,,,,,,,,
652,https://openalex.org/F4320337350,National Eye Institute,EY017491,,,,,,,,,,
658,https://openalex.org/F4320335777,National Key Research and Development Program of China,2023YFB3003001,,,,,,,,,,
605,https://openalex.org/F4320321864,Generalitat Valenciana,MFA/2022/045,,,,,,,,,,
664,https://openalex.org/F4320306076,National Science Foundation,DMS-2206333,,,,,,,,,,
666,https://openalex.org/F4320306076,National Science Foundation,CMMI 1901613,,,,,,,,,,
657,https://openalex.org/F4320321001,National Natural Science Foundation of China,52130101,,,,,,,,,,
660,https://openalex.org/F4320337345,Office of Naval Research,N00014-22-1-2193,,,,,,,,,,
665,https://openalex.org/F4320337345,Office of Naval Research,N00014-23-1-2007,,,,,,,,,,
614,https://openalex.org/F4320306076,National Science Foundation,NSF1564659,,,,,,,,,,
613,https://openalex.org/F4320327703,ExxonMobil Foundation,S18200000000256,,,,,,,,,,
617,https://openalex.org/F4320321001,National Natural Science Foundation of China,32371696,,,,,,,,,,
623,https://openalex.org/F4320306084,U.S. Department of Energy,DE-EE0009447,,,,,,,,,,
5253,https://openalex.org/F4320337345,Office of Naval Research,N00014-22-1-2764 P00001,,,,,,,,,,
671,https://openalex.org/F4320306078,U.S. Department of Defense,F31HL149289,,,,,,,,,,
7742,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-17-1-0164,,,,,,,,,,
5254,https://openalex.org/F4320338281,Army Research Office,W911NF2210048,,,,,,,,,,
5255,https://openalex.org/F4320306076,National Science Foundation,2340-206-2014878,,,,,,,,,,
693,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,R01AI173021,,,,,,,,,,
5256,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-19-1-0060,,,,,,,,,,
705,https://openalex.org/F4320332161,National Institutes of Health,AI137719,,,,,,,,,,
714,https://openalex.org/F4320337345,Office of Naval Research,N00014-23-1-2041,,,,,,,,,,
688,https://openalex.org/F4320337351,National Cancer Institute,U01CA252965,,,,,,,,,,
695,https://openalex.org/F4320323893,Fundo para o Desenvolvimento das Ciências e da Tecnologia,0022/2021/APD,,,,,,,,,,
668,https://openalex.org/F4320338295,Army Research Laboratory,W911NF-23-2-0073,,,,,,,,,,
716,https://openalex.org/F4320306084,U.S. Department of Energy,DE-FG02-08ER15967,,,,,,,,,,
710,https://openalex.org/F4320338281,Army Research Office,W911NF-19\u20132-0049,,,,,,,,,,
717,https://openalex.org/F4320321001,National Natural Science Foundation of China,22201247,,,,,,,,,,
720,https://openalex.org/F4320332186,Defense Threat Reduction Agency,HDTRA12210041,,,,,,,,,,
723,https://openalex.org/F4320320879,Deutsche Forschungsgemeinschaft,BA4253/11-3,,,,,,,,,,
691,https://openalex.org/F4320322990,Sichuan University,2023HXFH034,,,,,,,,,,
686,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,R01AI174964,,,,,,,,,,
684,https://openalex.org/F4320306078,U.S. Department of Defense,W8IXWH1910926,,,,,,,,,,
689,https://openalex.org/F4320322990,Sichuan University,25HXJS035,,,,,,,,,,
727,https://openalex.org/F4320335777,National Key Research and Development Program of China,52173269,,,,,,,,,,
708,https://openalex.org/F4320338281,Army Research Office,FA9550-23-1-0503,,,,,,,,,,
721,https://openalex.org/F4320338281,Army Research Office,W911NF2020136,,,,,,,,,,
674,https://openalex.org/F4320337338,"National Heart, Lung, and Blood Institute",R01HL155411,,,,,,,,,,
675,https://openalex.org/F4320337338,"National Heart, Lung, and Blood Institute",R01HL116705,,,,,,,,,,
676,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH-20-1-0036,,,,,,,,,,
2817,https://openalex.org/F4320337351,National Cancer Institute,R01CA148706,,,,,,,,,,
672,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH-16-1-0101,,,,,,,,,,
2818,https://openalex.org/F4320306078,U.S. Department of Defense,HT9425-23-1-0216,,,,,,,,,,
669,https://openalex.org/F4320338281,Army Research Office,W911NF2110130,,,,,,,,,,
683,https://openalex.org/F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,R01HD103511,,,,,,,,,,
690,https://openalex.org/F4320333335,Sichuan Province Science and Technology Support Program,2023NSFSC1484,,,,,,,,,,
685,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,R01AI175618,,,,,,,,,,
725,https://openalex.org/F4320338493,Cold Regions Research and Engineering Laboratory,PE 0602784A,,,,,,,,,,
681,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,R01AI177986,,,,,,,,,,
682,https://openalex.org/F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,R01HD090927,,,,,,,,,,
679,https://openalex.org/F4320337472,National Center for Advancing Translational Sciences,UL1TR001409,,,,,,,,,,
722,https://openalex.org/F4320306078,U.S. Department of Defense,N00014-19-1-2642,,,,,,,,,,
696,https://openalex.org/F4320306076,National Science Foundation,SMA-15409430,,,,,,,,,,
697,https://openalex.org/F4320306076,National Science Foundation,CBET-1935860,,,,,,,,,,
698,https://openalex.org/F4320306076,National Science Foundation,IP-1719130,,,,,,,,,,
699,https://openalex.org/F4320306076,National Science Foundation,NCS-1734883,,,,,,,,,,
700,https://openalex.org/F4320322841,Universidade de Macau,2017-00207-FST,,,,,,,,,,
701,https://openalex.org/F4320338295,Army Research Laboratory,W911NF2120154,,,,,,,,,,
702,https://openalex.org/F4320323893,Fundo para o Desenvolvimento das Ciências e da Tecnologia,0045/2019/AFJ,,,,,,,,,,
706,https://openalex.org/F4320332161,National Institutes of Health,CA244350,,,,,,,,,,
694,https://openalex.org/F4320337359,National Institute of Neurological Disorders and Stroke,R21NS130542,,,,,,,,,,
711,https://openalex.org/F4320306076,National Science Foundation,DMR - 1611180,,,,,,,,,,
718,https://openalex.org/F4320306084,U.S. Department of Energy,DE-SC0022332,,,,,,,,,,
670,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH-19-1-0557,,,,,,,,,,
728,https://openalex.org/F4320321001,National Natural Science Foundation of China,52074257,,,,,,,,,,
729,https://openalex.org/F4320327721,K. C. Wong Education Foundation,GJTD-2020-09,,,,,,,,,,
730,https://openalex.org/F4320335777,National Key Research and Development Program of China,51871216,,,,,,,,,,
731,https://openalex.org/F4320337345,Office of Naval Research,N00014-23-1-2202,,,,,,,,,,
1292,https://openalex.org/F4320337111,Basic and Applied Basic Research Foundation of Guangdong Province,2021B0301030005,,,,,,,,,,
713,https://openalex.org/F4320321001,National Natural Science Foundation of China,52071229,,,,,,,,,,
678,https://openalex.org/F4320337345,Office of Naval Research,N00014-20-1-2683,,,,,,,,,,
687,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,R01AI144168,,,,,,,,,,
680,https://openalex.org/F4320306076,National Science Foundation,2113811,,,,,,,,,,
715,https://openalex.org/F4320306076,National Science Foundation,2144763,,,,,,,,,,
677,https://openalex.org/F4320306076,National Science Foundation,CBET-1946189,,,,,,,,,,
5257,https://openalex.org/F4320332161,National Institutes of Health,HL147883,,,,,,,,,,
756,https://openalex.org/F4320321001,National Natural Science Foundation of China,62071046,,,,,,,,,,
736,https://openalex.org/F4320337347,National Institute on Drug Abuse,R21DA056813,,,,,,,,,,
764,https://openalex.org/F4320321001,National Natural Science Foundation of China,U2267252,,,,,,,,,,
768,https://openalex.org/F4320321001,National Natural Science Foundation of China,U2341261,,,,,,,,,,
778,https://openalex.org/F4320323086,Natural Science Foundation of Liaoning Province,20180550976,,,,,,,,,,
772,https://openalex.org/F4320338281,Army Research Office,W911NF-13\u20131\u20130438,,,,,,,,,,
788,https://openalex.org/F4320337350,National Eye Institute,R01EY026158,,,,,,,,,,
792,https://openalex.org/F4320332161,National Institutes of Health,R01CA245699,,,,,,,,,,
735,https://openalex.org/F4320322168,Hjärnfonden,FO2023-0090,,,,,,,,,,
783,https://openalex.org/F4320337350,National Eye Institute,R01EY030933,,,,,,,,,,
781,https://openalex.org/F4320337350,National Eye Institute,EY028911,,,,,,,,,,
766,https://openalex.org/F4320309249,University of Miami,DE-SC0024675,,,,,,,,,,
737,https://openalex.org/F4320337337,National Institute on Aging,R01AG059809,,,,,,,,,,
738,https://openalex.org/F4320322581,Vetenskapsrådet,Dnr 2018-02904,,,,,,,,,,
739,https://openalex.org/F4320321001,National Natural Science Foundation of China,31871098,,,,,,,,,,
748,https://openalex.org/F4320337480,Basic Energy Sciences,DE-SC0024099,,,,,,,,,,
740,https://openalex.org/F4320337345,Office of Naval Research,N00014-05-1-0538,,,,,,,,,,
751,https://openalex.org/F4320321001,National Natural Science Foundation of China,12272391,,,,,,,,,,
742,https://openalex.org/F4320332161,National Institutes of Health,1R15GM141728-01,,,,,,,,,,
743,https://openalex.org/F4320337480,Basic Energy Sciences,DE-FG02-17ER16362,,,,,,,,,,
745,https://openalex.org/F4320337345,Office of Naval Research,CC6725,,,,,,,,,,
746,https://openalex.org/F4320337480,Basic Energy Sciences,DE-SC0015997,,,,,,,,,,
747,https://openalex.org/F4320306076,National Science Foundation,CHE-2153441,,,,,,,,,,
749,https://openalex.org/F4320337345,Office of Naval Research,N00014-22-S-B001,,,,,,,,,,
734,https://openalex.org/F4320322581,Vetenskapsrådet,Dnr 2013-00854,,,,,,,,,,
752,https://openalex.org/F4320335777,National Key Research and Development Program of China,2021YFA0719200,,,,,,,,,,
753,https://openalex.org/F4320333688,National Outstanding Youth Science Fund Project of National Natural Science Foundation of China,12125206,,,,,,,,,,
755,https://openalex.org/F4320321001,National Natural Science Foundation of China,62471033,,,,,,,,,,
712,https://openalex.org/F4320338281,Army Research Office,W911NF-13\u20131-0438,,,,,,,,,,
757,https://openalex.org/F4320306076,National Science Foundation,CNS-1954780,,,,,,,,,,
758,https://openalex.org/F4320306076,National Science Foundation,ECCS-1102222,,,,,,,,,,
759,https://openalex.org/F4320337345,Office of Naval Research,N000141912075,,,,,,,,,,
762,https://openalex.org/F4320322843,Natural Science Foundation of Hunan Province,2022JJ20001,,,,,,,,,,
754,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-19-1-0413,,,,,,,,,,
777,https://openalex.org/F4320321001,National Natural Science Foundation of China,11935004,,,,,,,,,,
760,https://openalex.org/F4320326217,Hunan Provincial Innovation Foundation for Postgraduate,CX20220378,,,,,,,,,,
769,https://openalex.org/F4320321001,National Natural Science Foundation of China,U20A20278,,,,,,,,,,
709,https://openalex.org/F4320306076,National Science Foundation,2226508,,,,,,,,,,
767,https://openalex.org/F4320309249,University of Miami,DE-SC0024401,,,,,,,,,,
787,https://openalex.org/F4320306078,U.S. Department of Defense,MTEC-22-02-MPAI-005,,,,,,,,,,
771,https://openalex.org/F4320338281,Army Research Office,FA9550\u201323\u20131\u20130503,,,,,,,,,,
776,https://openalex.org/F4320322163,Natural Science Foundation of Hebei Province,E2024203087,,,,,,,,,,
1293,https://openalex.org/F4320321001,National Natural Science Foundation of China,11991061,,,,,,,,,,
774,https://openalex.org/F4320321001,National Natural Science Foundation of China,12372069,,,,,,,,,,
741,https://openalex.org/F4320321001,National Natural Science Foundation of China,22003016,,,,,,,,,,
733,https://openalex.org/F4320322168,Hjärnfonden,FO2022-0148,,,,,,,,,,
775,https://openalex.org/F4320321001,National Natural Science Foundation of China,51971195,,,,,,,,,,
765,https://openalex.org/F4320337510,Fusion Energy Sciences,DE-SC0018410,,,,,,,,,,
784,https://openalex.org/F4320337354,National Institute of General Medical Sciences,G1779,,,,,,,,,,
785,https://openalex.org/F4320323086,Natural Science Foundation of Liaoning Province,201602210,,,,,,,,,,
786,https://openalex.org/F4320337350,National Eye Institute,EY026509,,,,,,,,,,
779,https://openalex.org/F4320323086,Natural Science Foundation of Liaoning Province,201800209,,,,,,,,,,
780,https://openalex.org/F4320321001,National Natural Science Foundation of China,82171032,,,,,,,,,,
790,https://openalex.org/F4320322769,Natural Science Foundation of Jiangsu Province,BK20210834,,,,,,,,,,
782,https://openalex.org/F4320337354,National Institute of General Medical Sciences,P20GM103453,,,,,,,,,,
793,https://openalex.org/F4320321001,National Natural Science Foundation of China,82073768,,,,,,,,,,
794,https://openalex.org/F4320332161,National Institutes of Health,CA232347,,,,,,,,,,
795,https://openalex.org/F4320332161,National Institutes of Health,R01CA257520,,,,,,,,,,
796,https://openalex.org/F4320332161,National Institutes of Health,R01DK126908,,,,,,,,,,
797,https://openalex.org/F4320332161,National Institutes of Health,R01DK120330,,,,,,,,,,
798,https://openalex.org/F4320316071,Dalian High-Level Talent Innovation Program,2019RD03,,,,,,,,,,
773,https://openalex.org/F4320306076,National Science Foundation,DMR \u2013 1611180,,,,,,,,,,
770,https://openalex.org/F4320338281,Army Research Office,W911NF-19\u20132\u20130049,,,,,,,,,,
791,https://openalex.org/F4320308018,California Breast Cancer Research Program,W81XWH2010679,,,,,,,,,,
5258,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH2110115,,,,,,,,,,
7743,https://openalex.org/F4320337368,Division of Graduate Education,2125924,,,,,,,,,,
812,https://openalex.org/F4320338295,Army Research Laboratory,W911NF-17-1-0123,,,,,,,,,,
845,https://openalex.org/F4320338281,Army Research Office,W911NF-22-1\u22120284,,,,,,,,,,
802,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH-21-1-0129,,,,,,,,,,
843,https://openalex.org/F4320321001,National Natural Science Foundation of China,52104178,,,,,,,,,,
854,https://openalex.org/F4320306076,National Science Foundation,CMMI-2233592,,,,,,,,,,
832,https://openalex.org/F4320321001,National Natural Science Foundation of China,52273280,,,,,,,,,,
857,https://openalex.org/F4320338281,Army Research Office,W911NF-18-1-0364,,,,,,,,,,
841,https://openalex.org/F4320323110,Beijing Institute of Technology,KFJJ23-03M,,,,,,,,,,
827,https://openalex.org/F4320326984,State Key Laboratory of Powder Metallurgy,62102172,,,,,,,,,,
817,https://openalex.org/F4320321001,National Natural Science Foundation of China,72103021,,,,,,,,,,
816,https://openalex.org/F4320321001,National Natural Science Foundation of China,71922004,,,,,,,,,,
815,https://openalex.org/F4320322919,Natural Science Foundation of Beijing Municipality,Z220001,,,,,,,,,,
803,https://openalex.org/F4320306078,U.S. Department of Defense,HT9425-23-1-0553,,,,,,,,,,
804,https://openalex.org/F4320306078,U.S. Department of Defense,HT9425-23-1-0554,,,,,,,,,,
809,https://openalex.org/F4320306084,U.S. Department of Energy,DE-SC0019902,,,,,,,,,,
813,https://openalex.org/F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,2017/10582-8,,,,,,,,,,
805,https://openalex.org/F4320337345,Office of Naval Research,N000142012315,,,,,,,,,,
822,https://openalex.org/F4320306084,U.S. Department of Energy,DESC0021468,,,,,,,,,,
818,https://openalex.org/F4320321001,National Natural Science Foundation of China,72091511,,,,,,,,,,
819,https://openalex.org/F4320338295,Army Research Laboratory,W911NF-18-1-0138,,,,,,,,,,
820,https://openalex.org/F4320338295,Army Research Laboratory,W911NF-14-1-0637,,,,,,,,,,
821,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-21-1-0217,,,,,,,,,,
807,https://openalex.org/F4320333589,Environmental Security Technology Certification Program,ER20-5088,,,,,,,,,,
806,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-23-1-0272,,,,,,,,,,
814,https://openalex.org/F4320321001,National Natural Science Foundation of China,72131003,,,,,,,,,,
810,https://openalex.org/F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,2018/11283-7,,,,,,,,,,
842,https://openalex.org/F4320321001,National Natural Science Foundation of China,U2141204,,,,,,,,,,
826,https://openalex.org/F4320321001,National Natural Science Foundation of China,52020105013,,,,,,,,,,
7744,https://openalex.org/F4320338281,Army Research Office,W911NF-19-S-0008,,,,,,,,,,
823,https://openalex.org/F4320334627,Engineering and Physical Sciences Research Council,EP/Y032489/1,,,,,,,,,,
825,https://openalex.org/F4320321001,National Natural Science Foundation of China,12275154,,,,,,,,,,
833,https://openalex.org/F4320335777,National Key Research and Development Program of China,2022YFB3706800,,,,,,,,,,
834,https://openalex.org/F4320321001,National Natural Science Foundation of China,52301163,,,,,,,,,,
835,https://openalex.org/F4320321001,National Natural Science Foundation of China,51821001,,,,,,,,,,
836,https://openalex.org/F4320338281,Army Research Office,W911NF-13–1–0438,,,,,,,,,,
837,https://openalex.org/F4320338281,Army Research Office,W911NF-19–2–0049,,,,,,,,,,
828,https://openalex.org/F4320335777,National Key Research and Development Program of China,2020YFA0405700,,,,,,,,,,
830,https://openalex.org/F4320321001,National Natural Science Foundation of China,52101189,,,,,,,,,,
829,https://openalex.org/F4320321543,China Postdoctoral Science Foundation,2020M680343,,,,,,,,,,
849,https://openalex.org/F4320338279,Air Force Office of Scientific Research,AF AFOSR-FA9550-23-1-0503,,,,,,,,,,
850,https://openalex.org/F4320306084,U.S. Department of Energy,DE-EE0011185,,,,,,,,,,
801,https://openalex.org/F4320321001,National Natural Science Foundation of China,52201194,,,,,,,,,,
844,https://openalex.org/F4320337480,Basic Energy Sciences,DESC0019322,,,,,,,,,,
852,https://openalex.org/F4320338295,Army Research Laboratory,W911NF-19–2-0181,,,,,,,,,,
846,https://openalex.org/F4320306076,National Science Foundation,MCB 2227598,,,,,,,,,,
848,https://openalex.org/F4320306076,National Science Foundation,CBET 1932963,,,,,,,,,,
851,https://openalex.org/F4320322271,Science Fund for Creative Research Groups,51921001,,,,,,,,,,
831,https://openalex.org/F4320335787,Fundamental Research Funds for the Central Universities,FRF-TP-20-050A1,,,,,,,,,,
858,https://openalex.org/F4320306076,National Science Foundation,1750786,,,,,,,,,,
800,https://openalex.org/F4320337345,Office of Naval Research,N00014-20-1-2704,,,,,,,,,,
838,https://openalex.org/F4320321001,National Natural Science Foundation of China,12102433,,,,,,,,,,
799,https://openalex.org/F4320332161,National Institutes of Health,UG3CA256967,,,,,,,,,,
855,https://openalex.org/F4320306076,National Science Foundation,49100423C0011,,,,,,,,,,
856,https://openalex.org/F4320338328,"Naval Air Warfare Center, Aircraft Division",N00421–22–1-0001,,,,,,,,,,
861,https://openalex.org/F4320306196,Welch Foundation,E-1297,,,,,,,,,,
862,https://openalex.org/F4320306076,National Science Foundation,DMR-2375410,,,,,,,,,,
859,https://openalex.org/F4320338281,Army Research Office,W911NF-20-1-0274,,,,,,,,,,
860,https://openalex.org/F4320306076,National Science Foundation,1847632,,,,,,,,,,
853,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550–22–1-0349,,,,,,,,,,
839,https://openalex.org/F4320321001,National Natural Science Foundation of China,11988102,,,,,,,,,,
840,https://openalex.org/F4320321001,National Natural Science Foundation of China,11972346,,,,,,,,,,
2819,https://openalex.org/F4320320022,Sight Research UK,NE/P018637/2,,,,,,,,,,
5260,https://openalex.org/F4320337345,Office of Naval Research,N00014-16-1-2640,,,,,,,,,,
875,https://openalex.org/F4320332161,National Institutes of Health,R01DK093491,,,,,,,,,,
874,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH-19-1-0683,,,,,,,,,,
5259,https://openalex.org/F4320332753,Qatar National Research Fund,NPRP13S0121-200126,,,,,,,,,,
909,https://openalex.org/F4320334631,Natural Environment Research Council,NE/N01524X/1,,,,,,,,,,
7745,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-21-1-0429,,,,,,,,,,
916,https://openalex.org/F4320334626,Medical Research Council,MC_UU_00030/14,,,,,,,,,,
867,https://openalex.org/F4320332369,National Nuclear Security Administration,DE-NA0003975,,,,,,,,,,
913,https://openalex.org/F4320334626,Medical Research Council,MR/M015084/1,,,,,,,,,,
891,https://openalex.org/F4320306137,Bill and Melinda Gates Foundation,INV-005284,,,,,,,,,,
882,https://openalex.org/F4320338281,Army Research Office,W911NF-17-1-0111,,,,,,,,,,
869,https://openalex.org/F4320333688,National Outstanding Youth Science Fund Project of National Natural Science Foundation of China,U1930401,,,,,,,,,,
870,https://openalex.org/F4320306076,National Science Foundation,DMR-2104881,,,,,,,,,,
871,https://openalex.org/F4320306084,U.S. Department of Energy,DE-AC02- 05CH11231,,,,,,,,,,
872,https://openalex.org/F4320333688,National Outstanding Youth Science Fund Project of National Natural Science Foundation of China,11874075,,,,,,,,,,
877,https://openalex.org/F4320306084,U.S. Department of Energy,SA22-0052-S001,,,,,,,,,,
876,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-21-1-0317,,,,,,,,,,
879,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-20-1-0358,,,,,,,,,,
878,https://openalex.org/F4320335787,Fundamental Research Funds for the Central Universities,NP2020022,,,,,,,,,,
2820,https://openalex.org/F4320321001,National Natural Science Foundation of China,42076165,,,,,,,,,,
2821,https://openalex.org/F4320306078,U.S. Department of Defense,CA150895,,,,,,,,,,
881,https://openalex.org/F4320322438,Nanjing University of Aeronautics and Astronautics,KXKCXJJ202208,,,,,,,,,,
883,https://openalex.org/F4320338281,Army Research Office,W911NF-22-2-0205,,,,,,,,,,
884,https://openalex.org/F4320337354,National Institute of General Medical Sciences,T32 GM135096,,,,,,,,,,
885,https://openalex.org/F4320338281,Army Research Office,W911NF2310124,,,,,,,,,,
886,https://openalex.org/F4320326911,State Key Laboratory of Polymer Materials Engineering,sklpme2023-2-08,,,,,,,,,,
887,https://openalex.org/F4320337354,National Institute of General Medical Sciences,GM-136395,,,,,,,,,,
888,https://openalex.org/F4320306076,National Science Foundation,DMR- 1611180,,,,,,,,,,
889,https://openalex.org/F4320329833,Basic Scientific Fund for National Public Research Institutes of China,52271110,,,,,,,,,,
892,https://openalex.org/F4320332178,National Institute of Standards and Technology,70NANB21H105,,,,,,,,,,
893,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,R01 AI174908,,,,,,,,,,
894,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,P01 AI162242,,,,,,,,,,
896,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,1R01AI155150-01A1,,,,,,,,,,
897,https://openalex.org/F4320306137,Bill and Melinda Gates Foundation,INV-036842,,,,,,,,,,
898,https://openalex.org/F4320306127,U.S. Department of Veterans Affairs,IBX004525,,,,,,,,,,
899,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,R01AI147870,,,,,,,,,,
900,https://openalex.org/F4320337345,Office of Naval Research,N00014-19-1-2471,,,,,,,,,,
901,https://openalex.org/F4320337345,Office of Naval Research,N00014-18-S-B001,,,,,,,,,,
902,https://openalex.org/F4320337359,National Institute of Neurological Disorders and Stroke,NS124141,,,,,,,,,,
903,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH-20-10790,,,,,,,,,,
904,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH-21-10742,,,,,,,,,,
906,https://openalex.org/F4320311904,Wellcome Trust,209734/Z/17/Z,,,,,,,,,,
907,https://openalex.org/F4320334626,Medical Research Council,MC_UU_00031/3,,,,,,,,,,
908,https://openalex.org/F4320334627,Engineering and Physical Sciences Research Council,EP/R035288/1,,,,,,,,,,
911,https://openalex.org/F4320334626,Medical Research Council,MC_UU_00004/02,,,,,,,,,,
912,https://openalex.org/F4320334626,Medical Research Council,MC_UU_00004/08,,,,,,,,,,
919,https://openalex.org/F4320334626,Medical Research Council,MR/X020258/1,,,,,,,,,,
920,https://openalex.org/F4320334705,National Health and Medical Research Council,APP1084967,,,,,,,,,,
914,https://openalex.org/F4320334626,Medical Research Council,MR/M008525/1,,,,,,,,,,
917,https://openalex.org/F4320334626,Medical Research Council,MR/T033371/1,,,,,,,,,,
918,https://openalex.org/F4320334626,Medical Research Council,MR/P01271X/1,,,,,,,,,,
1295,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,HR00112390109,,,,,,,,,,
924,https://openalex.org/F4320306076,National Science Foundation,OCE-1924655,,,,,,,,,,
922,https://openalex.org/F4320334506,Canadian Institutes of Health Research,MOP133609,,,,,,,,,,
915,https://openalex.org/F4320334626,Medical Research Council,MR/L023784/2,,,,,,,,,,
