gid,funderid,fundername,awardid,value,popdate,fundagency,fundsubagency,fundoffice,psc,naics,ruei,rcage,rparuei
6784,https://openalex.org/F4320306202,Gordon and Betty Moore Foundation,GBMF10279,,,,,,,,,,
6785,https://openalex.org/F4320334627,Engineering and Physical Sciences Research Council,EP/S000550/1,,,,,,,,,,
6787,https://openalex.org/F4320322252,Israel Science Foundation,418/20,,,,,,,,,,
6788,https://openalex.org/F4320320300,European Commission,787520,,,,,,,,,,
6743,https://openalex.org/F4320338281,Army Research Office,W911NF-23-1-0277,,,,,,,,,,
4343,https://openalex.org/F4320333591,Multidisciplinary University Research Initiative,FA9550-21-1-0069,,,,,,,,,,
6736,https://openalex.org/F4320322511,Narodowe Centrum Nauki,2020/38/E/ST2/00564,,,,,,,,,,
6738,https://openalex.org/F4320326815,Infrastruktura PL-Grid,PLG/2020/014342,,,,,,,,,,
6754,https://openalex.org/F4320306076,National Science Foundation,CCF-2112665,,,,,,,,,,
6747,https://openalex.org/F4320306084,U.S. Department of Energy,LAB 21-2491,,,,,,,,,,
6735,https://openalex.org/F4320321181,Austrian Science Fund,J 4415,,,,,,,,,,
6722,https://openalex.org/F4320338281,Army Research Office,W911NF2210023,,,,,,,,,,
6749,https://openalex.org/F4320306076,National Science Foundation,DMS-2052455,,,,,,,,,,
6723,https://openalex.org/F4320306079,David and Lucile Packard Foundation,Fellowship,,,,,,,,,,
6750,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-21-1-0289,,,,,,,,,,
6769,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,HR0011-18-3-0007,,,,,,,,,,
6789,https://openalex.org/F4320334627,Engineering and Physical Sciences Research Council,EP/V053779/1,,,,,,,,,,
6790,https://openalex.org/F4320306076,National Science Foundation,NSF-DMR 2218550 and 1231319,,,,,,,,,,
6791,https://openalex.org/F4320306076,National Science Foundation,CAREER DMR-2046648,,,,,,,,,,
6792,https://openalex.org/F4320338281,Army Research Office,"W911NF-20-2-0061, DURIP W911NF-20-1-0074",,,,,,,,,,
6793,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-23-10004 DEF,,,,,,,,,,
6795,https://openalex.org/F4320337351,National Cancer Institute,U01 CA193632,,,,,,,,,,
6796,https://openalex.org/F4320338337,H2020 Marie Skłodowska-Curie Actions,892379,,,,,,,,,,
6797,https://openalex.org/F4320338335,H2020 European Research Council,Advanced Grant 83458,,,,,,,,,,
6759,https://openalex.org/F4320337346,National Institute of Mental Health,R01 MH113234,,,,,,,,,,
6798,https://openalex.org/F4320338294,Air Force Research Laboratory,RCP06360,,,,,,,,,,
6799,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-19-1-0399; FA9550-21-1-0209,,,,,,,,,,
6800,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-20-1,,,,,,,,,,
