oid,name,eid,amount,year,country,herddod,herddoe,herdhhs,herdnasa,herdnsf,herdusda,herdfedother,herdstate,herdinst,herdbusi,herdnonprof,herdallother
117,Miami University,218027,"$10,736.00",2022,USA,"$873,000.00","$280,000.00","$4,147,000.00","$235,000.00","$3,372,000.00","$118,000.00","$1,252,000.00","$1,997,000.00","$13,843,000.00","$1,375,000,000.00","$969,000,000.00","$338,000,000.00"
95,Winston-Salem State University,114240,$549.00,2022,USA,$0.00,$0.00,"$5,008,000.00","$100,000.00","$1,247,000.00",$0.00,"$2,548,000.00","$283,000.00",$0.00,$0.00,"$785,000,000.00","$465,000,000.00"
110,Central State University,113913,"$14,867.00",2022,USA,"$668,000.00",$0.00,"$261,000.00","$23,000.00","$481,000.00","$4,103,000.00","$40,000.00","$3,039,000.00","$1,659,000.00",$0.00,$0.00,$0.00
140,University of Central Oklahoma,197193,$964.00,2022,USA,"$486,000.00","$128,000.00","$575,000.00","$43,000.00","$331,000.00","$31,000.00","$275,000.00","$747,000.00","$4,365,000.00","$85,000,000.00","$3,000,000.00","$1,000,000.00"
79,North Carolina Agricultural and Technical State University,209776,"$39,458.00",2022,USA,,,,,,,,,,,,
137,Langston University,220538,"$9,669.00",2022,USA,"$600,000.00",$0.00,"$269,000.00","$175,000.00","$60,000.00","$2,495,000.00","$17,000.00",$0.00,"$2,449,000.00","$416,000,000.00",$0.00,$0.00
115,Kenyon College,217524,$615.00,2022,USA,$0.00,$0.00,"$179,000.00",$0.00,"$807,000.00","$35,000.00",$0.00,$0.00,"$162,000.00",$0.00,"$123,000,000.00","$24,000,000.00"
86,University of North Carolina at Chapel Hill,217975,"$623,747.00",2022,USA,,,,,,,,,,,,
85,University of North Carolina at Asheville,114188,$580.00,2022,USA,,,,,,,,,,,,
87,University of North Carolina at Charlotte,217373,"$17,332.00",2022,USA,,,,,,,,,,,,
88,University of North Carolina at Greensboro,217672,"$12,128.00",2022,USA,,,,,,,,,,,,
89,University of North Carolina at Pembroke,196771,$667.00,2022,USA,,,,,,,,,,,,
90,University of North Carolina Wilmington,113758,"$5,256.00",2022,USA,,,,,,,,,,,,
