"AID","name","orcid","hindex","i10index","_affilliation","_afilldaterange","_afillEID","flagged","openalexid"
"120469","Yingping Zou","https://orcid.org/0000-0003-1251-049X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5102717711"
"120470","Thuc‐Quyen Nguyen","https://orcid.org/0000-0002-8364-7517",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5038604576"
"120471","Dieter Neher","https://orcid.org/0000-0001-6618-8403",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5006423703"
"120472","Baoshan Cui","https://orcid.org/0000-0002-3877-4744",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5037651465"
"120473","Aitian Chen","https://orcid.org/0000-0003-3535-9470",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5060254531"
"120474","Xu Zhang","https://orcid.org/0000-0002-3991-5748",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100437225"
"120475","Bin Fang",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5005443517"
"120476","Zhaozhuo Zeng","https://orcid.org/0000-0002-1955-3516",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5101176768"
"120477","Peng Zhang","https://orcid.org/0000-0002-3456-1848",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100364122"
"120478","Jing Zhang","https://orcid.org/0000-0003-2616-6474",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100345480"
"120479","Wenqing He","https://orcid.org/0009-0006-3157-5669",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5005805340"
"120480","Guoqiang Yu","https://orcid.org/0000-0002-7439-6920",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5084469877"
"120481","Peng Yan","https://orcid.org/0000-0001-6369-2882",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5034558199"
"120482","Xiufeng Han",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5082367775"
